Date,Open,High,Low,Close,Adj Close,Volume
28/01/2011,52.799999,53.200001,50.259998,51.700001,46.337322,15905835
31/01/2011,51.02,52.889999,49.98,52.619999,47.161892,22426985
01/02/2011,52.939999,53.57,52.09,52.939999,47.448696,14203150
02/02/2011,53.400002,53.959999,52.509998,52.900002,47.412853,6298200
03/02/2011,53,54.299999,52.599998,54.099998,48.488377,8991560
04/02/2011,54.220001,54.66,52.110001,52.529999,47.081226,7860090
07/02/2011,52.029999,52.799999,51.43,51.880001,46.498653,6296600
08/02/2011,52,52.200001,49.099998,49.470001,44.338631,13003960
09/02/2011,49.200001,49.790001,46.709999,47.220001,42.322018,18693110
10/02/2011,47.029999,49.099998,46.810001,48.52,43.487171,18264090
11/02/2011,48.52,51.799999,47.860001,51.43,46.095325,15968680
14/02/2011,52,54.060001,51.900002,53.849998,48.264313,12896945
15/02/2011,54,55.759998,53.299999,55.450001,49.698353,16143960
16/02/2011,55.740002,55.939999,54.860001,55.470001,49.71627,8445685
17/02/2011,55.470001,56.790001,54.82,56.419998,50.567738,8191020
18/02/2011,56.419998,57.68,56,56.799999,50.908318,20098215
21/02/2011,56.799999,57.169998,55.799999,56.419998,50.567738,9683510
22/02/2011,56.200001,56.610001,54.52,55.009998,49.303978,6919435
23/02/2011,54.799999,55.200001,53.419998,53.650002,48.08506,7785735
24/02/2011,53.599998,53.91,50.619999,51.060001,45.763706,13854735
25/02/2011,51.259998,52.240002,48.310001,51.07,45.772671,22442335
28/02/2011,51.650002,52.880001,50.610001,51.200001,45.889183,19016470
01/03/2011,52.900002,55,51.48,54.43,48.784153,23772825
03/03/2011,54.799999,55.580002,53.740002,54.73,49.053028,14478735
04/03/2011,55.189999,56.470001,54.900002,55.07,49.357761,16438515
07/03/2011,54.799999,54.799999,53.419998,54.150002,48.533195,7215755
08/03/2011,54.200001,55.259998,53.860001,54.869999,49.178505,4471895
09/03/2011,55.009998,56,54.82,55.09,49.37569,9382465
10/03/2011,54.740002,55.09,54,54.34,48.703487,5096680
11/03/2011,53.82,54.279999,52.799999,53.369999,47.834091,7777520
14/03/2011,53,54.439999,52.650002,54.25,48.622826,8017895
15/03/2011,53.049999,53.799999,52.799999,53.130001,47.618996,6637555
16/03/2011,52,56.09,52,55.91,50.110638,14966180
17/03/2011,55.759998,56.540001,55.02,55.759998,49.976192,10306295
18/03/2011,55.759998,56.470001,54.639999,54.849998,49.16058,5787535
21/03/2011,55,55.34,54,54.849998,49.16058,3911865
22/03/2011,55,56.34,54.919998,55.98,50.17337,6719340
23/03/2011,55.889999,57.360001,55.419998,57.200001,51.266827,9878840
24/03/2011,57.389999,59.32,57.389999,58.959999,52.844269,12171740
25/03/2011,59.099998,60.259998,59.040001,59.900002,53.686764,12039925
28/03/2011,59.900002,60.98,59.509998,60,53.776386,13396905
29/03/2011,60,62.080002,59.700001,61.889999,55.470345,12506910
30/03/2011,61.799999,64.389999,61.799999,64.150002,57.49593,14351730
31/03/2011,64.400002,65.190002,61.599998,61.919998,55.497234,21743965
01/04/2011,62.150002,63.18,61.599998,62.41,55.936409,18432945
04/04/2011,62.75,63.099998,62.23,62.84,56.321804,10061365
05/04/2011,63.209999,63.209999,61.810001,62.419998,55.94537,7534680
06/04/2011,62.41,64.099998,62.209999,63.77,57.155338,14655590
07/04/2011,63.900002,66.400002,63.52,66.059998,59.207802,17406080
08/04/2011,66.029999,66.699997,63.299999,63.68,57.074677,13847625
11/04/2011,63.950001,64.400002,62.57,63.98,57.343555,8226180
13/04/2011,63.400002,67,62.759998,66.699997,59.78141,16205700
15/04/2011,67.540001,68.220001,65.099998,66.07,59.21677,18563700
18/04/2011,66.599998,67.800003,64.019997,64.260002,57.594513,8740035
19/04/2011,65,65.349998,63.669998,64.68,57.970947,14854605
20/04/2011,65.32,66.699997,64.830002,66.220001,59.351212,20034990
21/04/2011,66.300003,66.300003,63.139999,63.509998,56.922306,24612390
25/04/2011,66,66,62.939999,63.860001,57.236,8605665
26/04/2011,64,64.260002,62.220001,63.490002,56.904385,11547175
27/04/2011,63.419998,64.18,62.599998,63.169998,56.617573,8414855
28/04/2011,63.599998,63.599998,61.950001,62.080002,55.64064,9661930
29/04/2011,64,64,60.48,61.029999,54.699547,9051370
02/05/2011,61.439999,61.700001,59.560001,59.830002,53.624023,8068585
03/05/2011,59.830002,61.150002,56.810001,57.279999,51.338524,33999060
04/05/2011,57.57,57.720001,56.049999,56.360001,50.513962,18147335
05/05/2011,56.02,58.299999,55.900002,57,51.08757,21358370
06/05/2011,57.529999,60.560001,57.32,60.049999,53.821201,17715710
09/05/2011,60.5,60.860001,59.139999,59.5,53.328255,10950520
10/05/2011,59.040001,59.66,58.419998,59.220001,53.077297,7601880
11/05/2011,59.57,61.099998,59.16,60.48,54.206612,20704840
12/05/2011,60.380001,60.75,58.279999,58.560001,52.485752,12472660
13/05/2011,58.599998,59.959999,57.529999,59.169998,53.032486,11840615
16/05/2011,58.900002,59,58.02,58.349998,52.297539,5574080
17/05/2011,58.200001,59,57.279999,57.68,51.697037,8258335
18/05/2011,57.799999,58.16,55,56.369999,50.522915,12736370
19/05/2011,56.759998,57.400002,55.639999,55.919998,50.119595,9786010
20/05/2011,56.209999,56.790001,55.310001,56.099998,50.28093,10114365
23/05/2011,56,56.299999,54.459999,54.720001,49.044067,8617790
24/05/2011,54.77,56.68,54.470001,56.509998,50.648396,15039720
25/05/2011,56.02,57.099998,55.919998,56.650002,50.773876,11999550
26/05/2011,56.700001,57.650002,56.599998,57.080002,51.159275,13889720
27/05/2011,57.080002,59.66,57.07,59.360001,53.202778,10773700
30/05/2011,59.790001,60.400002,59.450001,59.66,53.471657,8067125
31/05/2011,59.84,60.41,59.169998,60.16,53.919788,8650880
01/06/2011,60.59,61.029999,59.32,59.630001,53.444771,10267290
02/06/2011,58.810001,59.299999,57.5,57.77,51.777702,9701010
03/06/2011,57.5,58.599998,57.450001,58.209999,52.172066,11762220
06/06/2011,58.400002,59.740002,57.5,59.59,53.408916,11955225
07/06/2011,59.48,60.139999,59,59.880001,53.668839,7272330
08/06/2011,59.41,60.790001,59.360001,60.07,53.83913,9317635
09/06/2011,60.099998,60.560001,59.139999,59.34,53.184856,6076805
10/06/2011,59.599998,59.759998,58.5,58.700001,52.61124,6782495
13/06/2011,58.59,59.16,57.91,58.849998,52.745674,5714175
14/06/2011,59.18,59.889999,59.040001,59.369999,53.211731,6746005
15/06/2011,54,59.529999,49.799999,58.639999,52.557461,8486805
16/06/2011,58.02,59.279999,57.549999,58.220001,52.181023,15553865
17/06/2011,58.220001,58.360001,56.349998,56.580002,51.150425,13712050
20/06/2011,56.799999,58.509998,54.82,58.130001,52.551678,19019650
21/06/2011,58.540001,59,57.220001,57.5,51.982132,7481730
22/06/2011,58.139999,58.279999,57.220001,57.400002,51.891735,6899700
23/06/2011,57.509998,57.889999,56.959999,57.380001,51.87365,6256775
24/06/2011,57.48,59.900002,57.48,59.73,53.998138,9880570
27/06/2011,59,62.970001,59,62.669998,56.656013,21588200
28/06/2011,62.799999,63.400002,61.610001,61.849998,55.9147,11358380
29/06/2011,62.360001,63.16,62.200001,62.549999,56.54752,13419565
30/06/2011,63.139999,63.560001,61.900002,62.41,56.420956,13358020
01/07/2011,63,63.900002,62.669998,63.669998,57.560047,8072215
04/07/2011,63.669998,64.379997,63.459999,63.77,57.650444,5769920
05/07/2011,63.759998,65.150002,62.799999,64.57,58.373676,10929780
06/07/2011,64.489998,65.860001,64.199997,65.309998,59.04266,15991885
07/07/2011,65.199997,65.769997,64.639999,65.360001,59.087864,6689395
08/07/2011,65.43,65.620003,64.040001,64.449997,58.26519,6049245
11/07/2011,64.019997,64.699997,60.57,64.269997,58.102463,8697655
12/07/2011,63.580002,63.889999,62.240002,62.950001,56.909142,7999320
13/07/2011,63,64.099998,62.84,63.59,57.487724,5628320
14/07/2011,63.389999,66.050003,63.310001,65.25,58.988426,9781340
15/07/2011,65.25,65.980003,64.5,64.93,58.699127,5861115
18/07/2011,64.900002,65.919998,64.699997,65.730003,59.422371,5570885
19/07/2011,65.68,65.940002,64.519997,64.739998,58.527363,8420390
20/07/2011,65.330002,65.660004,63.290001,63.75,57.63237,11273205
21/07/2011,63.799999,64.75,62.639999,63.57,57.469646,26131440
22/07/2011,64.059998,65.959999,64.059998,65.82,59.503723,16818245
25/07/2011,65.800003,66.900002,65.120003,66.690002,60.290241,12730100
26/07/2011,66.589996,66.650002,63.459999,63.73,57.614288,18834145
27/07/2011,64.190002,64.190002,62.27,62.490002,56.493279,10301780
28/07/2011,62,62.98,61.34,62.09,56.13166,9592190
29/07/2011,61.400002,63.189999,58.990002,62.130001,56.167831,7445680
01/08/2011,62.41,63.77,62.41,63.259998,57.189384,7978855
02/08/2011,63.599998,63.599998,61.619999,61.939999,55.996059,5897630
03/08/2011,60,61.599998,58.240002,61.389999,55.498837,6503080
04/08/2011,61.700001,62.799999,60.209999,60.470001,54.667126,9302330
05/08/2011,60.099998,60.720001,58.040001,60.290001,54.504402,17250205
08/08/2011,59.540001,61.400002,58.450001,60.43,54.630966,17462705
09/08/2011,58.400002,60.5,58,58.27,52.678246,17616760
10/08/2011,60,60.720001,59,60.549999,54.739445,16128585
11/08/2011,59.740002,61.860001,59.740002,61.349998,55.462681,9901570
12/08/2011,61.799999,61.82,59.369999,59.790001,54.052387,11673340
16/08/2011,60.110001,60.700001,59.139999,59.43,53.726929,5275695
17/08/2011,58.700001,60.09,57.549999,57.91,52.352791,9174650
18/08/2011,58,58.259998,54.599998,54.93,49.658764,14455395
19/08/2011,54,55,51.91,52.59,47.543316,25715165
22/08/2011,52.540001,53.720001,50.400002,53.240002,48.130939,20429560
23/08/2011,53.400002,56.200001,52.59,55.939999,50.571831,17702410
24/08/2011,55.5,56.91,54.599998,55.279999,49.975174,13442000
25/08/2011,55.790001,55.799999,53.02,53.470001,48.338867,10485525
26/08/2011,53.59,53.799999,51.52,51.880001,46.901447,12903110
29/08/2011,52.610001,54.939999,52.200001,54.25,49.044022,11823165
30/08/2011,55.740002,56.66,54.799999,55.509998,50.183094,11727690
02/09/2011,56.02,57.139999,54.82,55.73,50.381989,15525085
05/09/2011,55,56.700001,54.240002,56.540001,51.114258,10118085
06/09/2011,56.34,57.34,54.400002,57.209999,51.719967,15603800
07/09/2011,57.610001,58.419998,57.290001,58.130001,52.551678,7598780
08/09/2011,58.200001,59.599998,57.419998,59.369999,53.672684,12768200
09/09/2011,58.900002,60.080002,58.52,58.779999,53.139301,9879810
12/09/2011,57.400002,58.200001,54.419998,54.73,49.477955,13008740
13/09/2011,55.110001,56.580002,54.240002,54.75,49.496037,13482710
14/09/2011,55.110001,55.619999,53.259998,55.310001,50.002293,13036435
15/09/2011,55.77,56.200001,54.400002,55.720001,50.372948,11911470
16/09/2011,56,57.099998,55.200001,56.139999,50.752644,18888315
19/09/2011,55.860001,57.049999,55.400002,56.790001,51.340271,11903795
20/09/2011,56.599998,58,56.48,57.900002,52.34375,7684020
21/09/2011,57.900002,58.259998,56.799999,57.040001,51.566277,14458750
22/09/2011,56.279999,56.279999,53.799999,54.150002,48.953609,11798900
23/09/2011,54.360001,54.360001,51.900002,53.490002,48.356949,18203380
26/09/2011,53.639999,53.849998,51.200001,52.459999,47.425789,15769770
27/09/2011,53.18,54.73,53.060001,54.360001,49.143463,10611675
28/09/2011,54.400002,55,53.419998,54.450001,49.224823,8735315
29/09/2011,54.400002,55.98,53.700001,55.419998,50.101738,8490515
30/09/2011,55.389999,56.32,54.099998,54.509998,49.27906,9279710
03/10/2011,53.41,53.580002,51.900002,52.099998,47.100334,10442095
04/10/2011,52.110001,52.880001,49.75,50.220001,45.400749,14599175
05/10/2011,51,51.360001,48.060001,49.209999,44.487671,19574675
07/10/2011,50.939999,52.990002,50.299999,52.59,47.543316,19211635
10/10/2011,53,53.080002,52.099998,52.860001,47.787407,10130925
11/10/2011,53.240002,54.060001,52.200001,52.759998,47.697002,10279310
12/10/2011,52.990002,54.57,52.68,54.419998,49.197704,9817185
13/10/2011,54.799999,57.16,54.709999,56.84,51.385471,21060085
14/10/2011,56.950001,57.599998,55.759998,56.66,51.222748,11190895
17/10/2011,57,58.200001,56.810001,57.82,52.271431,8545830
18/10/2011,57,57,55.200001,55.98,50.607998,7034360
19/10/2011,56.779999,58.200001,56.400002,57.990002,52.425114,9252890
20/10/2011,57.599998,58.599998,56.580002,56.959999,51.493954,26092165
21/10/2011,57,58.049999,55.259998,55.560001,50.228302,15777150
24/10/2011,55.599998,57.099998,55.599998,56.330002,50.924412,7857415
25/10/2011,56.41,61.799999,55.830002,61.27,55.390354,55925695
28/10/2011,62.400002,64.769997,62.400002,63.139999,57.080902,18834490
